"COUNTRY","POPULATION (M)","GDP (B, USD)","G20 RANK","OECD RANK","ASIA RANK","OVERALL RANK","POST CITY","POST COUNTRY","TYPE OF POST","POST TYPE TITLE"
"Argentina","43.8","546","14","","","15","Algiers","Algeria","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Luanda","Angola","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Yerevan","Armenia","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Canberra","Australia","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Vienna","Austria","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Baku","Azerbaijan","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Bridgetown","Barbados","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Brussels","Belgium","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","La Paz","Bolivia Plurinational State of","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Brasilia","Brazil","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Sofia","Bulgaria","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Ottawa","Canada","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Santiago","Chile","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Beijing","China","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Bogota","Colombia","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","San Jose","Costa Rica","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Havana","Cuba","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Prague","Czech Republic","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Copenhagen","Denmark","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Santo Domingo","Dominican Republic","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Quito","Ecuador","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Cairo","Egypt","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","San Salvador","El Salvador","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Addis Ababa","Ethiopia","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Helsinki","Finland","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Paris","France","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Berlin","Germany","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Athens","Greece","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Guatemala City","Guatemala","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Georgetown","Guyana","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Port-au-Prince","Haiti","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Tegucigalpa","Honduras","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Budapest","Hungary","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","New Delhi","India","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Jakarta","Indonesia","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Tehran","Iran Islamic Republic of","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Dublin","Ireland","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Tel Aviv","Israel","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Rome","Italy","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Kingston","Jamaica","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Tokyo","Japan","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Nairobi","Kenya","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Seoul","Korea Republic of (South Korea)","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Kuwait City","Kuwait","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Beirut","Lebanon","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Tripoli","Libya","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Kuala Lumpur","Malaysia","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Mexico City","Mexico","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Rabat","Morocco","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Maputo","Mozambique","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","The Hague","Netherlands","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Wellington","New Zealand","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Managua","Nicaragua","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Abuja","Nigeria","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Oslo","Norway","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Islamabad","Pakistan","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Panama City","Panama","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Asuncion","Paraguay","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Lima","Peru","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Manila","Philippines","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Warsaw","Poland","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Lisbon","Portugal","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Doha","Qatar","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Bucharest","Romania","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Moscow","Russian Federation","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Castries","Saint Lucia","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Riyadh","Saudi Arabia","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Belgrade","Serbia","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Pretoria","South Africa","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Madrid","Spain","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Paramaribo","Suriname","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Stockholm","Sweden","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Bern","Switzerland","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Bangkok","Thailand","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Port of Spain","Trinidad and Tobago","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Tunis","Tunisia","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Ankara","Turkey","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Kiev","Ukraine","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","London","United Kingdom","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Washington DC","United States","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Montevideo","Uruguay","Embassy / High Commission","Embassy"
"Argentina","43.8","546","14","","","15","Holy See","Vatican City State","Embassy / High Commission","Embassy"
