"","send_country_iso","send_country","send_lon","send_lat","post_country_iso","post_country","post_city_country","post_city","post_city_lon","post_city_lat","post_type","post_title","query2","lon","lat"
"1","AUT","Austria",14.550072,47.516231,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","Austria, Embassy, Bratislava, Slovak Republic",17.1067551,48.1481363
"2","BRA","Brazil",-51.92528,-14.235004,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","Brazil, Embassy, Bratislava, Slovak Republic",17.1027877,48.1489754
"3","CHN","China",104.195397,35.86166,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","China, Embassy, Bratislava, Slovak Republic",17.087316,48.148729
"4","CZE","Czech Republic",15.472962,49.817492,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","Czech Republic, Embassy, Bratislava, Slovak Republic",17.1070067,48.1410122
"5","FRA","France",2.213749,46.227638,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","France, Embassy, Bratislava, Slovak Republic",17.1078151,48.1435194
"6","DEU","Germany",10.451526,51.165691,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","Germany, Embassy, Bratislava, Slovak Republic",17.1066006,48.1407656
"7","GRC","Greece",21.824312,39.074208,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","Greece, Embassy, Bratislava, Slovak Republic",17.1084764,48.1432437
"8","HUN","Hungary",19.5033041,47.162494,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","Hungary, Embassy, Bratislava, Slovak Republic",17.1067736,48.148944
"9","IND","India",78.96288,20.593684,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","India, Embassy, Bratislava, Slovak Republic",17.1141744,48.1443629
"10","IDN","Indonesia",113.921327,-0.789275,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","Indonesia, Embassy, Bratislava, Slovak Republic",17.0855695,48.1640593
"11","IRL","Ireland",-7.6920536,53.1423672,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","Ireland, Embassy, Bratislava, Slovak Republic",17.1094695,48.1411683
"12","ISR","Israel",34.851612,31.046051,"SVK","Slovak Republic","Bratislava, Slovak Republic","Bratislava",17.1077478,48.1485965,"Embassy / High Commission","Embassy","Israel, Embassy, Bratislava, Slovak Republic",17.0779325,48.1537678
