"","send_country_iso","send_country","send_lon","send_lat","post_country_iso","post_country","post_city_country","post_city","post_city_lon","post_city_lat","post_type","post_title","query2","lon","lat"
"1","ARG","Argentina",-63.616672,-38.416097,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Argentina, Embassy, London, United Kingdom",-0.1487573,51.5124679
"2","ARG","Argentina",-63.616672,-38.416097,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Consulate / Consulate-General","Consulate-General","Argentina, Consulate-General, London, United Kingdom",-0.1487573,51.5124679
"3","AUS","Australia",133.775136,-25.274398,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","High Commission","Australia, High Commission, London, United Kingdom",-0.1152821,51.5128277
"4","AUT","Austria",14.550072,47.516231,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Austria, Embassy, London, United Kingdom",-0.1551423,51.4981957
"5","BGD","Bangladesh",90.356331,23.684994,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","High Commission","Bangladesh, High Commission, London, United Kingdom",-0.1800546,51.4985267
"6","BEL","Belgium",4.469936,50.503887,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Belgium, Embassy, London, United Kingdom",-0.1531615,51.5009881
"7","BRA","Brazil",-51.92528,-14.235004,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Permanent Mission","Mission to IOM","Brazil, Mission to IOM, London, United Kingdom",-0.142298,51.4925384
"8","BRA","Brazil",-51.92528,-14.235004,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Brazil, Embassy, London, United Kingdom",-0.1308164,51.5075317
"9","BRA","Brazil",-51.92528,-14.235004,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Consulate / Consulate-General","Consulate-General","Brazil, Consulate-General, London, United Kingdom",-0.1308164,51.5075317
"10","BRN","Brunei Darussalam",114.727669,4.535277,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","High Commission","Brunei Darussalam, High Commission, London, United Kingdom",-0.154754,51.4984168
"11","KHM","Cambodia",104.990963,12.565679,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Cambodia, Embassy, London, United Kingdom",-0.2213979,51.5455444
"12","CAN","Canada",-106.346771,56.130366,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","High Commission","Canada, High Commission, London, United Kingdom",-0.129097,51.5078
"13","CHL","Chile",-71.542969,-35.675147,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Chile, Embassy, London, United Kingdom",-0.1313971,51.5006186
"14","CHL","Chile",-71.542969,-35.675147,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Consulate / Consulate-General","Consulate-General","Chile, Consulate-General, London, United Kingdom",-0.1313971,51.5006186
"15","CHN","China",104.195397,35.86166,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","China, Embassy, London, United Kingdom",-0.0905698,51.5144681
"16","CZE","Czech Republic",15.472962,49.817492,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Czech Republic, Embassy, London, United Kingdom",-0.193483,51.509387
"17","DNK","Denmark",9.501785,56.26392,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Denmark, Embassy, London, United Kingdom",-0.1594656,51.4978753
"18","EST","Estonia",25.0136071,58.595272,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Estonia, Embassy, London, United Kingdom",-0.1827882,51.4987946
"19","FIN","Finland",25.7481511,61.92411,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Finland, Embassy, London, United Kingdom",-0.1542665,51.4975819
"20","FRA","France",2.213749,46.227638,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","France, Embassy, London, United Kingdom",-0.175308,51.4954183
"21","FRA","France",2.213749,46.227638,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Consulate / Consulate-General","Consulate-General","France, Consulate-General, London, United Kingdom",-0.175308,51.4954183
"22","FRA","France",2.213749,46.227638,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Permanent Mission","Mission to IOM","France, Mission to IOM, London, United Kingdom",-0.142298,51.4925384
"23","DEU","Germany",10.451526,51.165691,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Germany, Embassy, London, United Kingdom",-0.1546785,51.4978975
"24","GRC","Greece",21.824312,39.074208,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Greece, Embassy, London, United Kingdom",-0.2045282,51.5054769
"25","HUN","Hungary",19.5033041,47.162494,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Hungary, Embassy, London, United Kingdom",-0.1526486,51.4973202
"26","ISL","Iceland",-19.020835,64.963051,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy & Mission to IMO","Iceland, Embassy & Mission to IMO, London, United Kingdom",-77.0586856,38.9019927
"27","IND","India",78.96288,20.593684,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","High Commission","India, High Commission, London, United Kingdom",-0.1181229,51.5126763
"28","IDN","Indonesia",113.921327,-0.789275,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Indonesia, Embassy, London, United Kingdom",-0.1309503,51.4969521
"29","IRL","Ireland",-7.6920536,53.1423672,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Ireland, Embassy, London, United Kingdom",-0.1497937,51.5003908
"30","ISR","Israel",34.851612,31.046051,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Israel, Embassy, London, United Kingdom",-0.1896974,51.5032085
"31","ITA","Italy",12.56738,41.87194,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Consulate / Consulate-General","Consulate-General","Italy, Consulate-General, London, United Kingdom",-0.1048536,51.5151877
"32","ITA","Italy",12.56738,41.87194,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Italy, Embassy, London, United Kingdom",-0.1494261,51.5118477
"33","JPN","Japan",138.252924,36.204824,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Japan, Embassy, London, United Kingdom",-0.1461505,51.5053796
"34","PRK","Korea Democratic People's Republic of (North Korea)",127.510093,40.339852,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Korea Democratic People's Republic of (North Korea), Embassy, London, United Kingdom",-0.2892243,51.5031402
"35","KOR","Korea Republic of (South Korea)",127.766922,35.907757,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Korea Republic of (South Korea), Embassy, London, United Kingdom",-0.1362604,51.4980052
"36","LAO","Lao People's Democratic Republic",102.495496,19.85627,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Lao People's Democratic Republic, Embassy, London, United Kingdom",-0.1843777,51.5133081
"37","LVA","Latvia",24.603189,56.879635,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Latvia, Embassy, London, United Kingdom",-0.1534598,51.522415
"38","LTU","Lithuania",23.881275,55.169438,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Lithuania, Embassy, London, United Kingdom",-0.1310239,51.4896018
"39","LUX","Luxembourg",6.129583,49.815273,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy & Mission to IOM","Luxembourg, Embassy & Mission to IOM, London, United Kingdom",-77.049166,38.91132
"40","MYS","Malaysia",101.975766,4.210484,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","High Commission","Malaysia, High Commission, London, United Kingdom",-0.152745,51.5000028
"41","MEX","Mexico",-102.552784,23.634501,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Mexico, Embassy, London, United Kingdom",-0.143686,51.5130055
"42","MNG","Mongolia",103.846656,46.862496,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Mongolia, Embassy, London, United Kingdom",-0.1868921,51.501554
"43","MMR","Myanmar",95.955974,21.916221,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Myanmar, Embassy, London, United Kingdom",-0.1482832,51.5076232
"44","NPL","Nepal",84.124008,28.394857,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Nepal, Embassy, London, United Kingdom",-0.1907566,51.5074704
"45","NLD","Netherlands",5.291266,52.132633,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Netherlands, Embassy, London, United Kingdom",-0.1822386,51.5011065
"46","NZL","New Zealand",174.885971,-40.900557,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","High Commission","New Zealand, High Commission, London, United Kingdom",-0.1314229,51.5078996
"47","NOR","Norway",8.468946,60.472024,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Norway, Embassy, London, United Kingdom",-0.1529622,51.4980468
"48","PAK","Pakistan",69.345116,30.375321,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","High Commission","Pakistan, High Commission, London, United Kingdom",-0.1587684,51.4994721
"49","PHL","Philippines",121.774017,12.879721,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Philippines, Embassy, London, United Kingdom",-0.1306615,51.508485
"50","POL","Poland",19.145136,51.919438,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Poland, Embassy, London, United Kingdom",-0.1455728,51.5207965
"51","PRT","Portugal",-8.224454,39.399872,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Consulate / Consulate-General","Consulate-General","Portugal, Consulate-General, London, United Kingdom",-0.1444554,51.5180881
"52","PRT","Portugal",-8.224454,39.399872,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Portugal, Embassy, London, United Kingdom",-0.1554401,51.4996296
"53","RUS","Russian Federation",105.318756,61.52401,"GBR","United Kingdom","London, United Kingdom","London",-0.1277583,51.5073509,"Embassy / High Commission","Embassy","Russian Federation, Embassy, London, United Kingdom",-0.1918737,51.5094664
