"","send_country_iso","send_country","send_lon","send_lat","post_country_iso","post_country","post_city_country","post_city","post_city_lon","post_city_lat","post_type","post_title","query2","lon","lat"
"1","ARG","Argentina",-63.616672,-38.416097,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Argentina, Embassy, Tehran, Iran Islamic Republic of",51.4518875,35.7700803
"2","AUS","Australia",133.775136,-25.274398,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Australia, Embassy, Tehran, Iran Islamic Republic of",51.4135352,35.7375273
"3","AUT","Austria",14.550072,47.516231,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Austria, Embassy, Tehran, Iran Islamic Republic of",51.4369464,35.813505
"4","BGD","Bangladesh",90.356331,23.684994,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Bangladesh, Embassy, Tehran, Iran Islamic Republic of",51.4025812,35.7458985
"5","BEL","Belgium",4.469936,50.503887,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Belgium, Embassy, Tehran, Iran Islamic Republic of",51.427332,35.797196
"6","BRA","Brazil",-51.92528,-14.235004,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Brazil, Embassy, Tehran, Iran Islamic Republic of",51.4213016,35.806284
"7","BRN","Brunei Darussalam",114.727669,4.535277,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Brunei Darussalam, Embassy, Tehran, Iran Islamic Republic of",51.385032,35.7134473
"8","CHN","China",104.195397,35.86166,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","China, Embassy, Tehran, Iran Islamic Republic of",51.4770684,35.8043583
"9","CZE","Czech Republic",15.472962,49.817492,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Czech Republic, Embassy, Tehran, Iran Islamic Republic of",51.4754085,35.8006784
"10","DNK","Denmark",9.501785,56.26392,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Denmark, Embassy, Tehran, Iran Islamic Republic of",51.4343268,35.784908
"11","FIN","Finland",25.7481511,61.92411,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Finland, Embassy, Tehran, Iran Islamic Republic of",51.4388721,35.7885329
"12","FRA","France",2.213749,46.227638,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","France, Embassy, Tehran, Iran Islamic Republic of",51.4105107,35.697125
"13","DEU","Germany",10.451526,51.165691,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Germany, Embassy, Tehran, Iran Islamic Republic of",51.4205046,35.6930967
"14","GRC","Greece",21.824312,39.074208,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Greece, Embassy, Tehran, Iran Islamic Republic of",51.416502,35.7713314
"15","HUN","Hungary",19.5033041,47.162494,"IRN","Iran Islamic Republic of","Tehran, Iran Islamic Republic of","Tehran",51.3889736,35.6891975,"Embassy / High Commission","Embassy","Hungary, Embassy, Tehran, Iran Islamic Republic of",51.4507911,35.7729997
