"","send_country_iso","send_country","send_lon","send_lat","post_country_iso","post_country","post_city_country","post_city","post_city_lon","post_city_lat","post_type","post_title","query2","lon","lat"
"1","AUT","Austria",14.550072,47.516231,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Austria, Embassy, Tirana, Albania",19.8384288,41.3104728
"2","BRA","Brazil",-51.92528,-14.235004,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Brazil, Embassy, Tirana, Albania",19.8208377,41.3270881
"3","CHN","China",104.195397,35.86166,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","China, Embassy, Tirana, Albania",19.8071011,41.3312179
"4","CZE","Czech Republic",15.472962,49.817492,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Czech Republic, Embassy, Tirana, Albania",19.8078962,41.3300761
"5","FRA","France",2.213749,46.227638,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","France, Embassy, Tirana, Albania",19.8082099,41.3302907
"6","DEU","Germany",10.451526,51.165691,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Germany, Embassy, Tirana, Albania",19.80796,41.3292511
"7","GRC","Greece",21.824312,39.074208,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Greece, Embassy, Tirana, Albania",19.8072288,41.3286232
"8","HUN","Hungary",19.5033041,47.162494,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Hungary, Embassy, Tirana, Albania",19.8379706,41.3099344
"9","ISR","Israel",34.851612,31.046051,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Israel, Embassy, Tirana, Albania",34.790369,32.0908362
"10","ITA","Italy",12.56738,41.87194,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Italy, Embassy, Tirana, Albania",19.8225833,41.321138
"11","JPN","Japan",138.252924,36.204824,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Japan, Embassy, Tirana, Albania",19.8081575,41.3273822
"12","NLD","Netherlands",5.291266,52.132633,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Netherlands, Embassy, Tirana, Albania",19.8240005,41.32019
"13","POL","Poland",19.145136,51.919438,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Poland, Embassy, Tirana, Albania",19.8109543,41.33121
"14","RUS","Russian Federation",105.318756,61.52401,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Russian Federation, Embassy, Tirana, Albania",19.8183264,41.3231658
"15","SAU","Saudi Arabia",45.079162,23.885942,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Saudi Arabia, Embassy, Tirana, Albania",19.8409895,41.3107155
"16","SVK","Slovak Republic",19.699024,48.669026,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Slovak Republic, Embassy, Tirana, Albania",17.1015717,48.1465706
"17","SVN","Slovenia",14.995463,46.151241,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Slovenia, Embassy, Tirana, Albania",19.8193242,41.3199421
"18","ESP","Spain",-3.74922,40.463667,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Spain, Embassy, Tirana, Albania",19.8079268,41.3299311
"19","SWE","Sweden",18.643501,60.128161,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Sweden, Embassy, Tirana, Albania",19.8300701,41.3206509
"20","CHE","Switzerland",8.227512,46.818188,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Switzerland, Embassy, Tirana, Albania",19.8179207,41.32273
"21","TUR","Turkey",35.243322,38.963745,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","Turkey, Embassy, Tirana, Albania",19.8351412,41.313859
"22","GBR","United Kingdom",-3.435973,55.378051,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","United Kingdom, Embassy, Tirana, Albania",19.8076543,41.3303444
"23","USA","United States",-95.712891,37.09024,"ALB","Albania","Tirana, Albania","Tirana",19.8186982,41.3275459,"Embassy / High Commission","Embassy","United States, Embassy, Tirana, Albania",19.8270702,41.3204705
