"send_country","lon","lat"
"Argentina",-63.616672,-38.416097
"Australia",133.775136,-25.274398
"Austria",14.550072,47.516231
"Bangladesh",90.356331,23.684994
"Belgium",4.469936,50.503887
"Bhutan",90.433601,27.514162
"Brazil",-51.92528,-14.235004
"Brunei Darussalam",114.727669,4.535277
"Cambodia",104.990963,12.565679
"Canada",-106.346771,56.130366
"Chile",-71.542969,-35.675147
"China",104.195397,35.86166
"Czech Republic",15.472962,49.817492
"Denmark",9.501785,56.26392
"Estonia",25.0136071,58.595272
"Finland",25.7481511,61.92411
"France",2.213749,46.227638
"Germany",10.451526,51.165691
"Greece",21.824312,39.074208
"Hungary",19.5033041,47.162494
"Iceland",-19.020835,64.963051
"India",78.96288,20.593684
"Indonesia",113.921327,-0.789275
"Ireland",-7.6920536,53.1423672
"Israel",34.851612,31.046051
"Italy",12.56738,41.87194
"Japan",138.252924,36.204824
"Korea Democratic People's Republic of (North Korea)",127.510093,40.339852
"Korea Republic of (South Korea)",127.766922,35.907757
"Lao People's Democratic Republic",102.495496,19.85627
"Latvia",24.603189,56.879635
"Lithuania",23.881275,55.169438
"Luxembourg",6.129583,49.815273
"Malaysia",101.975766,4.210484
"Mexico",-102.552784,23.634501
"Mongolia",103.846656,46.862496
"Myanmar",95.955974,21.916221
"Nepal",84.124008,28.394857
"Netherlands",5.291266,52.132633
"New Zealand",174.885971,-40.900557
"Norway",8.468946,60.472024
"Pakistan",69.345116,30.375321
"Philippines",121.774017,12.879721
"Poland",19.145136,51.919438
"Portugal",-8.224454,39.399872
"Russian Federation",105.318756,61.52401
"Saudi Arabia",45.079162,23.885942
"Singapore",103.819836,1.352083
"Slovak Republic",19.699024,48.669026
"Slovenia",14.995463,46.151241
"South Africa",22.937506,-30.559482
"Spain",-3.74922,40.463667
"Sri Lanka",80.771797,7.873054
"Sweden",18.643501,60.128161
"Switzerland",8.227512,46.818188
"Taiwan*",120.960515,23.69781
"Thailand",100.992541,15.870032
"Turkey",35.243322,38.963745
"United Kingdom",-3.435973,55.378051
"United States",-95.712891,37.09024
"Vietnam",108.277199,14.058324
