"post_city_country","send_country","post_city","post_country","post_type","post_title","send_country_iso","send_country_iso_num","post_country_iso","post_country_iso_num","send_lon","send_lat","post_city_lon","post_city_lat","full_geo_query","exact_post_lon","exact_post_lat"
"Abidjan, Cote d'Ivoire","Israel","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","ISR",376,"CIV",384,34.851612,31.046051,-4.0082563,5.3599517,"Israel, Embassy, Abidjan, Cote d'Ivoire",-4.0183139,5.323408
"Abidjan, Cote d'Ivoire","United Kingdom","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","GBR",826,"CIV",384,-3.435973,55.378051,-4.0082563,5.3599517,"United Kingdom, Embassy, Abidjan, Cote d'Ivoire",-3.9760447,5.3350399
"Abidjan, Cote d'Ivoire","Japan","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","JPN",392,"CIV",384,138.252924,36.204824,-4.0082563,5.3599517,"Japan, Embassy, Abidjan, Cote d'Ivoire",-4.0171503,5.3169423
"Abidjan, Cote d'Ivoire","China","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","CHN",156,"CIV",384,104.195397,35.86166,-4.0082563,5.3599517,"China, Embassy, Abidjan, Cote d'Ivoire",-3.9420429,5.3324457
"Abidjan, Cote d'Ivoire","Netherlands","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","NLD",528,"CIV",384,5.291266,52.132633,-4.0082563,5.3599517,"Netherlands, Embassy, Abidjan, Cote d'Ivoire",4.2991569,52.0861465
"Abidjan, Cote d'Ivoire","Germany","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","DEU",276,"CIV",384,10.451526,51.165691,-4.0082563,5.3599517,"Germany, Embassy, Abidjan, Cote d'Ivoire",-4.0057839,5.3285696
"Abidjan, Cote d'Ivoire","Switzerland","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","CHE",756,"CIV",384,8.227512,46.818188,-4.0082563,5.3599517,"Switzerland, Embassy, Abidjan, Cote d'Ivoire",-3.9932507,5.3293343
"Abidjan, Cote d'Ivoire","Spain","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","ESP",724,"CIV",384,-3.74922,40.463667,-4.0082563,5.3599517,"Spain, Embassy, Abidjan, Cote d'Ivoire",-3.9738063,5.3428212
"Abidjan, Cote d'Ivoire","Belgium","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","BEL",56,"CIV",384,4.469936,50.503887,-4.0082563,5.3599517,"Belgium, Embassy, Abidjan, Cote d'Ivoire",-3.9932566,5.3301753
"Abidjan, Cote d'Ivoire","France","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","FRA",250,"CIV",384,2.213749,46.227638,-4.0082563,5.3599517,"France, Embassy, Abidjan, Cote d'Ivoire",-4.0172017,5.3265007
"Abidjan, Cote d'Ivoire","Korea Republic of (South Korea)","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","KOR",410,"CIV",384,127.766922,35.907757,-4.0082563,5.3599517,"Korea Republic of (South Korea), Embassy, Abidjan, Cote d'Ivoire",-3.9968626,5.3319232
"Abidjan, Cote d'Ivoire","Brazil","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","BRA",76,"CIV",384,-51.92528,-14.235004,-4.0082563,5.3599517,"Brazil, Embassy, Abidjan, Cote d'Ivoire",-3.9760447,5.3350399
"Abidjan, Cote d'Ivoire","Canada","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","CAN",124,"CIV",384,-106.346771,56.130366,-4.0082563,5.3599517,"Canada, Embassy, Abidjan, Cote d'Ivoire",-4.0156038,5.3183167
"Abidjan, Cote d'Ivoire","Italy","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","ITA",380,"CIV",384,12.56738,41.87194,-4.0082563,5.3599517,"Italy, Embassy, Abidjan, Cote d'Ivoire",-4.0127832,5.3407989
"Abidjan, Cote d'Ivoire","South Africa","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","ZAF",710,"CIV",384,22.937506,-30.559482,-4.0082563,5.3599517,"South Africa, Embassy, Abidjan, Cote d'Ivoire",-3.9948267,5.3295743
"Abidjan, Cote d'Ivoire","Saudi Arabia","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","SAU",682,"CIV",384,45.079162,23.885942,-4.0082563,5.3599517,"Saudi Arabia, Embassy, Abidjan, Cote d'Ivoire",-4.0108425,5.330749
"Abidjan, Cote d'Ivoire","France","Abidjan","Cote d'Ivoire","Consulate / Consulate-General","Consulate-General","FRA",250,"CIV",384,2.213749,46.227638,-4.0082563,5.3599517,"France, Consulate-General, Abidjan, Cote d'Ivoire",-4.0172017,5.3265007
"Abidjan, Cote d'Ivoire","Russian Federation","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","RUS",643,"CIV",384,105.318756,61.52401,-4.0082563,5.3599517,"Russian Federation, Embassy, Abidjan, Cote d'Ivoire",-3.9769415,5.3366854
"Abidjan, Cote d'Ivoire","Turkey","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","TUR",792,"CIV",384,35.243322,38.963745,-4.0082563,5.3599517,"Turkey, Embassy, Abidjan, Cote d'Ivoire",-4.01443,5.3230184
"Abidjan, Cote d'Ivoire","United States","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","USA",840,"CIV",384,-95.712891,37.09024,-4.0082563,5.3599517,"United States, Embassy, Abidjan, Cote d'Ivoire",-3.9760447,5.3350399
"Abidjan, Cote d'Ivoire","India","Abidjan","Cote d'Ivoire","Embassy / High Commission","Embassy","IND",356,"CIV",384,78.96288,20.593684,-4.0082563,5.3599517,"India, Embassy, Abidjan, Cote d'Ivoire",-3.9564886,5.3342107
"Abu Dhabi, United Arab Emirates","Bangladesh","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","BGD",50,"ARE",784,90.356331,23.684994,54.3773438,24.453884,"Bangladesh, Embassy, Abu Dhabi, United Arab Emirates",54.3694066,24.4574639
"Abu Dhabi, United Arab Emirates","Sri Lanka","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","LKA",144,"ARE",784,80.771797,7.873054,54.3773438,24.453884,"Sri Lanka, Embassy, Abu Dhabi, United Arab Emirates",54.383579,24.482596
"Abu Dhabi, United Arab Emirates","Luxembourg","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","LUX",442,"ARE",784,6.129583,49.815273,54.3773438,24.453884,"Luxembourg, Embassy, Abu Dhabi, United Arab Emirates",54.3286844,24.4649112
"Abu Dhabi, United Arab Emirates","Australia","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","AUS",36,"ARE",784,133.775136,-25.274398,54.3773438,24.453884,"Australia, Embassy, Abu Dhabi, United Arab Emirates",54.3573073,24.4808903
"Abu Dhabi, United Arab Emirates","Indonesia","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","IDN",360,"ARE",784,113.921327,-0.789275,54.3773438,24.453884,"Indonesia, Embassy, Abu Dhabi, United Arab Emirates",54.3715185,24.4350015
"Abu Dhabi, United Arab Emirates","Estonia","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","EST",233,"ARE",784,25.0136071,58.595272,54.3773438,24.453884,"Estonia, Embassy, Abu Dhabi, United Arab Emirates",54.3647796,24.4903009
"Abu Dhabi, United Arab Emirates","Mexico","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","MEX",484,"ARE",784,-102.552784,23.634501,54.3773438,24.453884,"Mexico, Embassy, Abu Dhabi, United Arab Emirates",54.4944829,24.4072233
"Abu Dhabi, United Arab Emirates","United States","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","USA",840,"ARE",784,-95.712891,37.09024,54.3773438,24.453884,"United States, Embassy, Abu Dhabi, United Arab Emirates",54.4337103,24.4244003
"Abu Dhabi, United Arab Emirates","Germany","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","DEU",276,"ARE",784,10.451526,51.165691,54.3773438,24.453884,"Germany, Embassy, Abu Dhabi, United Arab Emirates",54.383102,24.495858
"Abu Dhabi, United Arab Emirates","Pakistan","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","PAK",586,"ARE",784,69.345116,30.375321,54.3773438,24.453884,"Pakistan, Embassy, Abu Dhabi, United Arab Emirates",54.431991,24.4240538
"Abu Dhabi, United Arab Emirates","Latvia","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","LVA",428,"ARE",784,24.603189,56.879635,54.3773438,24.453884,"Latvia, Embassy, Abu Dhabi, United Arab Emirates",54.334118,24.459971
"Abu Dhabi, United Arab Emirates","Singapore","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","SGP",702,"ARE",784,103.819836,1.352083,54.3773438,24.453884,"Singapore, Embassy, Abu Dhabi, United Arab Emirates",54.3658956,24.4469637
"Abu Dhabi, United Arab Emirates","Lithuania","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","LTU",440,"ARE",784,23.881275,55.169438,54.3773438,24.453884,"Lithuania, Embassy, Abu Dhabi, United Arab Emirates",25.2805791,54.6884087
"Abu Dhabi, United Arab Emirates","Ireland","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","IRL",372,"ARE",784,-7.6920536,53.1423672,54.3773438,24.453884,"Ireland, Embassy, Abu Dhabi, United Arab Emirates",54.3424383,24.462877
