"send_country","meta_population_millions","meta_gdp_usd_billions"
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Argentina",44.5,518
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
"Australia",25,1432
