"send_country","post_city","post_country","post_type","post_title"
"Argentina","Algiers","Algeria","Embassy / High Commission","Embassy"
"Argentina","Luanda","Angola","Embassy / High Commission","Embassy"
"Argentina","Yerevan","Armenia","Embassy / High Commission","Embassy"
"Argentina","Canberra","Australia","Embassy / High Commission","Embassy"
"Argentina","Vienna","Austria","Embassy / High Commission","Embassy"
"Argentina","Baku","Azerbaijan","Embassy / High Commission","Embassy"
"Argentina","Bridgetown","Barbados","Embassy / High Commission","Embassy"
"Argentina","Brussels","Belgium","Embassy / High Commission","Embassy"
"Argentina","La Paz","Bolivia Plurinational State of","Embassy / High Commission","Embassy"
"Argentina","Brasilia","Brazil","Embassy / High Commission","Embassy"
"Argentina","Sofia","Bulgaria","Embassy / High Commission","Embassy"
"Argentina","Ottawa","Canada","Embassy / High Commission","Embassy"
"Argentina","Santiago","Chile","Embassy / High Commission","Embassy"
"Argentina","Beijing","China","Embassy / High Commission","Embassy"
"Argentina","Bogota","Colombia","Embassy / High Commission","Embassy"
"Argentina","San Jose","Costa Rica","Embassy / High Commission","Embassy"
"Argentina","Havana","Cuba","Embassy / High Commission","Embassy"
"Argentina","Prague","Czech Republic","Embassy / High Commission","Embassy"
"Argentina","Copenhagen","Denmark","Embassy / High Commission","Embassy"
"Argentina","Santo Domingo","Dominican Republic","Embassy / High Commission","Embassy"
"Argentina","Quito","Ecuador","Embassy / High Commission","Embassy"
"Argentina","Cairo","Egypt","Embassy / High Commission","Embassy"
"Argentina","San Salvador","El Salvador","Embassy / High Commission","Embassy"
"Argentina","Addis Ababa","Ethiopia","Embassy / High Commission","Embassy"
"Argentina","Helsinki","Finland","Embassy / High Commission","Embassy"
"Argentina","Paris","France","Embassy / High Commission","Embassy"
"Argentina","Berlin","Germany","Embassy / High Commission","Embassy"
"Argentina","Athens","Greece","Embassy / High Commission","Embassy"
"Argentina","Guatemala City","Guatemala","Embassy / High Commission","Embassy"
"Argentina","Georgetown","Guyana","Embassy / High Commission","Embassy"
"Argentina","Port-au-Prince","Haiti","Embassy / High Commission","Embassy"
"Argentina","Tegucigalpa","Honduras","Embassy / High Commission","Embassy"
"Argentina","Budapest","Hungary","Embassy / High Commission","Embassy"
"Argentina","New Delhi","India","Embassy / High Commission","Embassy"
"Argentina","Jakarta","Indonesia","Embassy / High Commission","Embassy"
"Argentina","Tehran","Iran Islamic Republic of","Embassy / High Commission","Embassy"
"Argentina","Dublin","Ireland","Embassy / High Commission","Embassy"
"Argentina","Tel Aviv","Israel","Embassy / High Commission","Embassy"
"Argentina","Rome","Italy","Embassy / High Commission","Embassy"
"Argentina","Kingston","Jamaica","Embassy / High Commission","Embassy"
"Argentina","Tokyo","Japan","Embassy / High Commission","Embassy"
"Argentina","Nairobi","Kenya","Embassy / High Commission","Embassy"
"Argentina","Seoul","Korea Republic of (South Korea)","Embassy / High Commission","Embassy"
"Argentina","Kuwait City","Kuwait","Embassy / High Commission","Embassy"
"Argentina","Beirut","Lebanon","Embassy / High Commission","Embassy"
"Argentina","Tripoli","Libya","Embassy / High Commission","Embassy"
"Argentina","Kuala Lumpur","Malaysia","Embassy / High Commission","Embassy"
"Argentina","Mexico City","Mexico","Embassy / High Commission","Embassy"
"Argentina","Rabat","Morocco","Embassy / High Commission","Embassy"
"Argentina","Maputo","Mozambique","Embassy / High Commission","Embassy"
"Argentina","The Hague","Netherlands","Embassy / High Commission","Embassy"
"Argentina","Wellington","New Zealand","Embassy / High Commission","Embassy"
"Argentina","Managua","Nicaragua","Embassy / High Commission","Embassy"
"Argentina","Abuja","Nigeria","Embassy / High Commission","Embassy"
"Argentina","Oslo","Norway","Embassy / High Commission","Embassy"
"Argentina","Islamabad","Pakistan","Embassy / High Commission","Embassy"
"Argentina","Panama City","Panama","Embassy / High Commission","Embassy"
"Argentina","Asuncion","Paraguay","Embassy / High Commission","Embassy"
"Argentina","Lima","Peru","Embassy / High Commission","Embassy"
"Argentina","Manila","Philippines","Embassy / High Commission","Embassy"
"Argentina","Warsaw","Poland","Embassy / High Commission","Embassy"
"Argentina","Lisbon","Portugal","Embassy / High Commission","Embassy"
"Argentina","Doha","Qatar","Embassy / High Commission","Embassy"
"Argentina","Bucharest","Romania","Embassy / High Commission","Embassy"
"Argentina","Moscow","Russian Federation","Embassy / High Commission","Embassy"
"Argentina","Castries","Saint Lucia","Embassy / High Commission","Embassy"
"Argentina","Riyadh","Saudi Arabia","Embassy / High Commission","Embassy"
"Argentina","Belgrade","Serbia","Embassy / High Commission","Embassy"
"Argentina","Singapore","Singapore","Embassy / High Commission","Embassy"
"Argentina","Pretoria","South Africa","Embassy / High Commission","Embassy"
"Argentina","Madrid","Spain","Embassy / High Commission","Embassy"
"Argentina","Paramaribo","Suriname","Embassy / High Commission","Embassy"
"Argentina","Stockholm","Sweden","Embassy / High Commission","Embassy"
"Argentina","Bern","Switzerland","Embassy / High Commission","Embassy"
"Argentina","Bangkok","Thailand","Embassy / High Commission","Embassy"
"Argentina","Port of Spain","Trinidad and Tobago","Embassy / High Commission","Embassy"
"Argentina","Tunis","Tunisia","Embassy / High Commission","Embassy"
"Argentina","Ankara","Turkey","Embassy / High Commission","Embassy"
"Argentina","Kiev","Ukraine","Embassy / High Commission","Embassy"
"Argentina","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy"
"Argentina","London","United Kingdom","Embassy / High Commission","Embassy"
"Argentina","Washington DC","United States","Embassy / High Commission","Embassy"
"Argentina","Montevideo","Uruguay","Embassy / High Commission","Embassy"
"Argentina","Holy See","Vatican City State","Embassy / High Commission","Embassy"
"Argentina","Caracas","Venezuela Bolivarian Republic of","Embassy / High Commission","Embassy"
"Argentina","Hanoi","Vietnam","Embassy / High Commission","Embassy"
"Argentina","Sydney","Australia","Consulate / Consulate-General","Consulate-General"
"Argentina","Cochabamba","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate"
"Argentina","La Paz","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate-General"
"Argentina","Santa Cruz","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate-General"
"Argentina","Tarija","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate-General"
"Argentina","Villazon","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate"
"Argentina","Yacuiba","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate"
"Argentina","Belo Horizonte","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","Curitiba","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","Florianopolis","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","Foz do Iguacu","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","Porto Alegre","Brazil","Consulate / Consulate-General","Consulate-General"
"Argentina","Recife","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","Rio de Janeiro","Brazil","Consulate / Consulate-General","Consulate-General"
"Argentina","Salvador","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","Sao Paolo","Brazil","Consulate / Consulate-General","Consulate-General"
"Argentina","Uruguayana","Brazil","Consulate / Consulate-General","Consulate"
"Argentina","Montreal","Canada","Consulate / Consulate-General","Consulate-General"
"Argentina","Toronto","Canada","Consulate / Consulate-General","Consulate-General"
"Argentina","Antofagasta","Chile","Consulate / Consulate-General","Consulate"
"Argentina","Concepcion","Chile","Consulate / Consulate-General","Consulate"
"Argentina","Puerto Montt","Chile","Consulate / Consulate-General","Consulate"
"Argentina","Punta Arenas","Chile","Consulate / Consulate-General","Consulate-General"
"Argentina","Santiago","Chile","Consulate / Consulate-General","Consulate-General"
"Argentina","Valparaiso","Chile","Consulate / Consulate-General","Consulate-General"
"Argentina","Guangzhou","China","Consulate / Consulate-General","Consulate-General"
"Argentina","Hong Kong","China","Consulate / Consulate-General","Consulate-General"
"Argentina","Shanghai","China","Consulate / Consulate-General","Consulate-General"
"Argentina","Guayaquil","Ecuador","Consulate / Consulate-General","Consulate"
"Argentina","Bonn","Germany","Consulate / Consulate-General","Consulate"
"Argentina","Frankfurt","Germany","Consulate / Consulate-General","Consulate-General"
"Argentina","Hamburg","Germany","Consulate / Consulate-General","Consulate-General"
"Argentina","Mumbai","India","Consulate / Consulate-General","Consulate-General"
"Argentina","Tel Aviv","Israel","Consulate / Consulate-General","Consulate-General"
"Argentina","Milan","Italy","Consulate / Consulate-General","Consulate-General"
"Argentina","Rome","Italy","Consulate / Consulate-General","Consulate-General"
"Argentina","Mexico City","Mexico","Consulate / Consulate-General","Consulate-General"
