"send_country","rank_g20","rank_OECD","rank_asia","rank_overall"
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Argentina",13,NA,NA,14
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
"Australia",18,20,NA,27
